"filename", "language", "YAML", "HTML", "Dart", "Markdown", "JSON", "C++", "Swift", "XML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\menu.dart", "Dart", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 161
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\topbar.dart", "Dart", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 147
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\application.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\route_handlers.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\routes.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 43
"c:\Boxs\Tmp\pcl\snns_cm\lib\dbutils\db_helper.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 75, 16, 93
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\constants.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\helpers.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 51
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\math_functions.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\editable.dart", "Dart", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 144, 54, 460
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_body.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 119
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_header.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 57
"c:\Boxs\Tmp\pcl\snns_cm\lib\main.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 33
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\Node.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\User.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Boxs\Tmp\pcl\snns_cm\lib\restutils\rest_helper.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_service.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 60
"c:\Boxs\Tmp\pcl\snns_cm\lib\widget\center_screen.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Boxs\Tmp\pcl\snns_cm\lib\widget\expansion_title.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Boxs\Tmp\pcl\snns_cm\pubspec.yaml", "YAML", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 14, 90
"c:\Boxs\Tmp\pcl\snns_cm\web\index.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Boxs\Tmp\pcl\snns_cm\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 27, 26, 2260, 20, 168, 1, 12, 125, 8, 81, 4, 604, 346, 3682
