"filename", "language", "HTML", "YAML", "Dart", "C++", "Markdown", "JSON", "Swift", "Groovy", "XML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\constants.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\helpers.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 51
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\commons\math_functions.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\editable.dart", "Dart", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 144, 54, 460
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_body.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 119
"c:\Boxs\Tmp\pcl\snns_cm\lib\editable\widgets\table_header.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 57
"c:\Boxs\Tmp\pcl\snns_cm\lib\main.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 23
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\Node.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"c:\Boxs\Tmp\pcl\snns_cm\lib\models\User.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Boxs\Tmp\pcl\snns_cm\lib\restutils\rest_helper.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Boxs\Tmp\pcl\snns_cm\lib\services\api_service.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 40
"c:\Boxs\Tmp\pcl\snns_cm\pubspec.yaml", "YAML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 14, 88
"c:\Boxs\Tmp\pcl\snns_cm\web\index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Boxs\Tmp\pcl\snns_cm\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 26, 25, 2018, 1, 20, 168, 12, 81, 125, 8, 4, 512, 319, 3319
